Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
BILN.L,Billington Holdings Plc,Engineering & Construction,Industrials,63.92,5.44,16.26,20.13,10.17,134,0.23,345.00,43112,23060
BXP.L,Beximco Pharmaceuticals Ltd Gdr,Drug Manufacturers - Specialty & Generic,Healthcare,8.98,4.43,13.27,10.95,8.92,8.77,0.39,39.73,31235,1000
5276.KL,Dancomech Holdings Bhd,Pollution & Treatment Controls,Industrials,0.05,8.50,10.73,16.25,7.77,40.18,1.88,0.425,162381,67400
SFFYF,Signify N.V.,Electrical Equipment & Parts,Industrials,2.91,8.11,11.22,7.03,4.25,3.81,5.18,22.6500,1421.67,2455
ITAYY,Indo Tambangraya Megah ADR,Thermal Coal,Energy,0.66,4.26,20.68,30.88,16.42,136,0.10,2.5100,2970.71,100
1571.HK,Xin Point Holdings Ltd,Auto Parts,Consumer Cyclical,0.60,5.40,16.00,18.91,12.44,141,0.40,3.23,1356112,1183159
PUTKY,United Tractors ADR,Other Industrial Metals & Mining,Basic Materials,6.80,3.93,22.71,19.08,11.91,19.08,0.18,26.9000,24977,5369
SDL.NZ,Solution Dynamics Ltd,Software - Application,Technology,0.18,3.56,27.04,39.26,15.52,29.19,0.08,0.64,5482.38,558
2166.HK,Smart-Core Holdings Ltd,Electronics & Computer Distribution,Technology,0.21,8.48,10.84,7.31,5.62,3.87,0.32,1.80,346953,438000
BWLP,BW LPG Ltd,Marine Shipping,Industrials,3.58,2.82,31.97,25.35,19.87,28.69,0.07,10.09,459330,463440
BWLP.IX,BW LPG Ltd,Marine Shipping,Industrials,3.58,2.82,31.97,25.35,19.87,28.69,0.07,10.09,426411,452886
CGS.L,Castings Plc,Specialty Industrial Machinery,Industrials,28.00,9.10,9.35,9.76,7.21,369,1.64,249.00,12217,1552
0811.HK,Xinhua Winshare Publishing & Media Co Ltd,Publishing,Communication Services,1.33,8.41,11.18,12.90,6.79,115,1.33,11.22,1580514,1261000
900948.SS,Inner Mongolia Yitai Coal Co Ltd B,Thermal Coal,Energy,0.29,6.86,12.81,11.13,7.11,14.86,0.37,1.99,3166083,2032254
PWON.JK,Pakuwon Jati,Real Estate - Diversified,Real Estate,43.08,8.87,10.48,11.60,6.09,8.03,3.12,382.00,50447600,49074300
XYIGF,Xinyi Glass Holdings Ltd,Building Materials,Basic Materials,0.10,8.76,9.55,6.35,6.74,18.95,1.20,0.8966,3163.05,410
0640.HK,Infinity Development Holdings Co Ltd,Specialty Chemicals,Basic Materials,0.18,5.22,18.50,30.22,13.02,45.62,0.39,0.92,162290,52000
B26.SI,Ban Leong Technologies Ltd,Electronics & Computer Distribution,Technology,0.07,5.36,16.74,14.47,9.04,50.69,0.35,0.375,41452,11900
1705.HK,B&S International Holdings Ltd,Food Distribution,Consumer Defensive,0.07,5.36,16.26,16.97,9.84,8.49,0.49,0.385,99991,268000
XYIGY,Xinyi Glass Holdings Ltd ADR,Building Materials,Basic Materials,2.04,8.92,9.55,6.35,6.74,18.95,1.18,18.2740,3824,632
BWLPG.OL,BW LPG Ltd,Marine Shipping,Industrials,37.40,2.76,31.89,25.28,19.82,28.69,0.07,103.40,519242,228219
1979.HK,Ten Pao Group Holdings Ltd,Electrical Equipment & Parts,Industrials,0.37,4.38,22.06,15.67,8.26,46.77,0.16,1.62,859909,396000
HNNA,Hennessy Advisors Inc,Asset Management,Financial Services,1.12,9.55,9.66,9.54,5.84,4.94,,10.85,17758,10063
UNTR.JK,United Tractors,Other Industrial Metals & Mining,Basic Materials,5378,4.22,22.75,19.15,11.93,19.03,0.18,22700,5012320,8997100
9639.T,Sankyo Frontier Co Ltd,Real Estate - Diversified,Real Estate,252,7.63,12.66,9.42,8.50,454,,1920.00,8819.05,56100
0868.HK,Xinyi Glass Holdings Ltd,Building Materials,Basic Materials,0.79,9.16,9.55,6.35,6.74,18.95,1.22,7.27,14926158,9352175
0788.HK,China Tower Corp Ltd,Telecom Services,Communication Services,6.56,1.71,5.38,4.17,3.28,6.05,1.08,11.24,19695804,16346723
2283.HK,TK Group (Holdings) Ltd,Specialty Chemicals,Basic Materials,0.32,5.94,15.81,25.21,10.43,68.57,,1.90,2147032,1096000
TOTO.JK,Surya Toto Indonesia,Building Products & Equipment,Industrials,30.00,7.53,13.06,10.25,9.37,19.01,0.23,226.00,569997,1736000
MAWANASUG.BO,Mawana Sugars Ltd,Confectioners,Consumer Defensive,24.25,3.67,25.27,9.41,11.36,2.47,,89.09,7016.33,6863
F9D.SI,Boustead Singapore Ltd,Conglomerates,Industrials,0.15,6.93,14.60,11.12,6.47,56.78,1.84,1.040,354810,608400
ELNET.BO,Elnet Technologies Ltd,Real Estate - Diversified,Real Estate,42.18,8.07,12.14,19.10,10.62,26.47,1.06,340.20,1158.14,1730
MAWANASUG.NS,Mawana Sugars Ltd,Confectioners,Consumer Defensive,24.25,3.67,25.27,9.41,11.36,2.47,,88.89,94991,44867
CHEVIOT.NS,Cheviot Company Ltd,Textile Manufacturing,Consumer Cyclical,107,9.77,10.31,4.77,9.47,160,2.87,1046.10,2295.29,589
CHEVIOT.BO,Cheviot Company Ltd,Textile Manufacturing,Consumer Cyclical,107,9.79,10.31,4.77,9.47,160,2.96,1047.90,395.38,57
