Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
0144.HK,China Merchants Port Holdings Co Ltd,Marine Shipping,Industrials,1.76,7.45,7.17,2.27,4.33,2.31,6.13,13.12,2706108,512290
6459.KL,MNRB Holdings Bhd,Insurance - Reinsurance,Financial Services,0.69,3.17,17.07,4.58,4.18,21.52,0.27,2.20,366097,188500
3443.T,Kawada Technologies Inc,Engineering & Construction,Industrials,576,4.74,12.38,6.57,6.14,25.52,2.66,2696.00,47271,26500
6150.T,Takeda Machinery Co Ltd,Metal Fabrication,Industrials,432,6.84,8.63,7.64,5.56,43.04,,2967.00,1690.48,100
PXT.TO,Parex Resources Inc,Oil & Gas E&P,Energy,3.66,3.79,13.56,15.63,11.26,208,0.21,13.85,466626,310042
0746.HK,Lee & Man Chemical Co Ltd,Chemicals,Basic Materials,0.65,6.18,9.29,8.86,7.64,22.66,,4.02,249996,400000
7439.KL,Teck Guan Perdana Bhd,Packaged Foods,Consumer Defensive,0.23,7.04,7.83,8.34,5.19,7.84,0.22,1.62,20533,20300
1556.HK,Chinney Kin Wing Holdings Ltd,Engineering & Construction,Industrials,0.09,3.22,18.82,16.91,7.53,400,0.29,0.29,333615,10000
LTLS.JK,Lautan Luas,Specialty Chemicals,Basic Materials,171,5.82,9.55,7.49,4.56,4.80,,1010.00,216106,135100
DCOHF,Dickson Concepts (International) Ltd,Luxury Goods,Consumer Cyclical,0.09,7.00,7.43,13.84,4.96,4.79,,0.6301,2953.5,1000
7425.T,Hatsuho Shouji Co Ltd,Steel,Basic Materials,296,5.05,11.36,9.88,4.53,320,0.16,1550.00,3923.81,2800
0113.HK,Dickson Concepts (International) Ltd,Luxury Goods,Consumer Cyclical,0.67,7.34,7.42,13.82,4.95,4.78,,4.92,283181,11500
APAM.MC,Aperam S.A.,Steel,Basic Materials,3.95,6.81,8.57,-12.27,5.30,3.44,0.92,26.84,2255.33,723
APAM.VI,Aperam S.A.,Steel,Basic Materials,3.95,6.82,8.57,-12.27,5.30,3.44,0.92,26.86,0,0
APAM.AS,Aperam S.A.,Steel,Basic Materials,3.95,6.78,8.57,-12.27,5.30,3.44,0.92,26.74,162696,199238
3355.T,Kuriyama Holdings Corp,Industrial Distribution,Industrials,210,6.04,10.02,5.39,5.97,17.98,0.57,1255.00,18995,6100
E4I.DE,Multitude AG,Credit Services,Financial Services,0.51,9.31,8.98,16.73,1.72,4.85,0.12,4.75,9032.29,2573
4611.T,Dai Nippon Toryo Co Ltd,Specialty Chemicals,Basic Materials,187,6.36,9.28,4.43,5.38,61.97,3.27,1194.00,37443,32400
DBMBF,Macquarie Mexico Real Estate Management S.A. de C.V.,REIT - Industrial,Real Estate,0.63,2.47,26.41,5.60,17.80,3.15,0.10,1.6720,6563.52,3401
1827.T,Nakano Corp,Engineering & Construction,Industrials,107,6.31,9.32,8.82,4.69,266,,719.00,123829,167400
AWI.SI,Thakral Corp Ltd,Specialty Retail,Consumer Cyclical,0.09,7.44,7.66,3.19,3.38,3.24,0.72,0.670,77662,1000
5018.T,Moresco Corp,Specialty Chemicals,Basic Materials,140,9.17,6.35,3.65,3.56,28.50,,1289.00,31443,15400
7244.T,Ichikoh Industries Ltd,Auto Parts,Consumer Cyclical,50.93,8.03,7.56,3.53,3.88,31.88,,404.00,51233,16000
SFSHF,Safestore Holdings Plc,REIT - Industrial,Real Estate,2.12,3.58,18.32,4.02,12.04,5.21,0.97,7.9040,963.05,192
WEHB.BR,Wereldhave Belgium C.V.A. S.C.A.,REIT - Retail,Real Estate,8.50,5.61,10.82,4.52,7.38,3.03,,47.80,1844.14,3882
CLPI.JK,Colorpak Indonesia,Specialty Chemicals,Basic Materials,173,6.08,9.61,13.00,6.67,13.27,0.80,1060.00,67645,162200
PWO.DE,PWO AG,Auto Parts,Consumer Cyclical,4.12,6.99,8.13,6.20,2.98,2.65,1.11,29.00,1719.33,150
WWIB.OL,Wilhelm Wilhelmsen Holding ASA Series B,Marine Shipping,Industrials,124,3.14,18.26,2.36,12.06,2.49,,393.00,5708.67,1103
3369.HK,Qinhuangdao Port Co Ltd,Marine Shipping,Industrials,0.30,6.87,8.55,4.87,5.58,7.75,1.46,2.06,1144898,27000
7077.KL,Kerjaya Prospek Property Bhd,Real Estate - Development,Real Estate,0.08,7.69,8.48,6.31,5.44,156,,0.625,69878,110000
